48697 | 1505
138094 | 1508
138737 | 1491
163275 | 1551
190790 | 1490
260553 | 1577
266216 | 1503
277635 | 1494
282724 | 1494
333002 | 1506
342079 | 1535
380611 | 1493
699213 | 1494
863650 | 1486
863905 | 1501
905439 | 1501
911280 | 1491
920009 | 1543
956642 | 1500
960788 | 1504
963956 | 1517
1039246 | 1524
1042284 | 1505
1070910 | 1540
1108642 | 1539
1150135 | 1486
1157129 | 1497
1166952 | 1500
1194997 | 1551
1214706 | 1566
1231170 | 1500
1234359 | 1493
1249296 | 1516
1256275 | 1496
1256384 | 1496
1276422 | 1495
1284960 | 1528
1415840 | 1491
1420258 | 1507
1446114 | 1528
1454594 | 1567
1565083 | 1453
1569911 | 1560
1612966 | 1491
1654550 | 1503
1673007 | 1538
1753695 | 1555
1798351 | 1516
1800311 | 1515
1846138 | 1546
1849902 | 1498
1859615 | 1492
1938890 | 1500
1975365 | 1500
2038948 | 1470
2045211 | 1534
2056146 | 1481
2056506 | 1508
2074019 | 1556
2078492 | 1525
2081350 | 1475
2084583 | 1491
2086643 | 1493
2110319 | 1505
2165910 | 1491
2227336 | 1496
2245702 | 1610
2245974 | 1491
2253057 | 1531
2269911 | 1512
2296057 | 1479
2297200 | 1507
2299524 | 1536
2304961 | 1499
2345731 | 1479
2360921 | 1500
2400661 | 1519
2421955 | 1507
2424097 | 1512
2424224 | 1500
2424536 | 1505
2442318 | 1527
2448564 | 1614
2527284 | 1532
2536817 | 1504
2537012 | 1490
2537138 | 1478
2537739 | 1500
2546363 | 1496
2546615 | 1500
2554450 | 1486
2571163 | 1490
2572018 | 1551
2572021 | 1526
2572283 | 1470
2572474 | 1512
2573077 | 1500
2573889 | 1500
2574459 | 1492
2574950 | 1499
2576413 | 1501
2586288 | 1486
2612543 | 1490
2615943 | 1490
2618737 | 1534
2628541 | 1503
2648138 | 1480
2648607 | 1490
2653846 | 1520
2654517 | 1500
2659810 | 1496
2668312 | 1515
2669205 | 1500
2671469 | 1471
2674057 | 1517
2686251 | 1504
2693138 | 1553
2700462 | 1491
2700495 | 1495
2700624 | 1534
2707149 | 1500
2712790 | 1473
2720750 | 1471
2722288 | 1490
2729242 | 1473
2762576 | 1517
2764197 | 1502
2773299 | 1470
2788991 | 1490
2794332 | 1487
2798231 | 1502
2812493 | 1481
2814562 | 1492
2814601 | 1491
2820736 | 1509
2829034 | 1500
2857968 | 1495
2883101 | 1501
2883638 | 1492
2884430 | 1506
2888861 | 1494
2895094 | 1503
2896252 | 1488
2914846 | 1495
2918327 | 1495
2918357 | 1494
2923258 | 1491
2924201 | 1490
2924569 | 1491
2925430 | 1491
2932000 | 1487
2932689 | 1500
2937508 | 1491
2943542 | 1482
2943565 | 1491
2945980 | 1500
2961199 | 1496
2962668 | 1491
2962969 | 1490
2963134 | 1482
2963662 | 1487
2963676 | 1478
2967949 | 1491
2969455 | 1492
2980593 | 1499
3010214 | 1492
3020977 | 1500
3021507 | 1491
3032124 | 1486
3032911 | 1478
3039823 | 1501
3054262 | 1468
3056665 | 1505
3057070 | 1490
3059901 | 1487
3060256 | 1497
3061033 | 1495
3061139 | 1495
3062615 | 1514
3065333 | 1486
3065743 | 1500
3074244 | 1485
3074556 | 1503
3079743 | 1499
3083847 | 1492
3099066 | 1498
3102000 | 1496
3108131 | 1478
3108279 | 1491
3110878 | 1496
3111150 | 1490
3111198 | 1482
3112113 | 1490
3112172 | 1480
3112354 | 1495
3112712 | 1480
3114373 | 1500
3119805 | 1500
3122005 | 1502
3122148 | 1488
3123027 | 1500
3124834 | 1493
3124988 | 1491
3126004 | 1505
3126274 | 1495
3133126 | 1490
3136357 | 1512
3143644 | 1500
3146727 | 1479
3151185 | 1491
3153405 | 1491
3153423 | 1488
3155082 | 1492
3163371 | 1495
3163375 | 1494
3164117 | 1490
3164382 | 1490
3164748 | 1500
3164753 | 1497
3164856 | 1500
3170541 | 1506
3176439 | 1490
3180378 | 1484
3209985 | 1512
3210053 | 1500
3211349 | 1495
3216437 | 1490
3220895 | 1491
3222285 | 1491
3222726 | 1500
3224859 | 1504
3229134 | 1490
3229265 | 1490
3236538 | 1495
