2448564,Shinsei,121
1569911,El Vale,73
260553,Paco,106
1194997,Jigle,53
163275,ZanT,93
1454594,SkibidiSlayer69,75
2245702,JimboBimbo,78
1753695,Mayo,72
2045211,Baki,78
1108642,Ganonhorse,50
920009,Sura_plus,37
2572018,Damii,18
2618737,Nostradamus,51
2074019,Yoptop,89
1846138,Licer,50
1070910,Yami,69
2442318,Ikki,70
1284960,Conia,41
2693138,Floripundo,38
2253057,KamuiKN,37
2299524,Ryoud,31
963956,Neiel Jair,40
1673007,Gutii,28
2653846,Maicher,20
1214706,Lohan,112
2700624,Kamuri,14
2078492,Juancheu,18
2424536,Mapss_2000,48
2527284,Exploity,22
2762576,Andra,19
2572021,Magic,4
3039823,Maxi,22
342079,Sketch 64,39
2883101,iiori_,35
2572474,Kelex,4
2269911,Letierki,6
1420258,Sumo,14
1039246,Matttt I,36
2400661,JbGamerARG,23
333002,Doku,54
266216,Faka!,38
911280,DrimuS,19
2537739,Blade,5
2574950,Kullervo,-2
1231170,pr0jett,10
1150135,Fmodex,5
2820736,NAP/Koketsu,7
2798231,Bocchi95,14
1157129,Kukul,22
1446114,dareot,25
