tournament/tokyo-fights-2/event/singles,Tokyo Fights 2,Singles,102410837|102410854|102410858|102410859|102410909|102410917|102410918|102410921|102410919,Santa Fe,02/05/2026
tournament/llama-smash-8/event/ultimate-singles,Llama Smash 8,Singles,102429963|102429964|102429965|102432411|102432412|102432413|102436824|102436825|102438828|102438829|102442370|102442371|102442373|102417559|102417560|102422938|102422940|102424639|102424640|102426788|102426789,Jujuy,03/05/2026
