tournament/cyber-saga-6/event/ultimate-singles,Cyber Saga 6,Singles,
tournament/cyber-saga-8/event/ultimate-singles,Cyber Saga 8,Singles,
tournament/cyber-saga-9/event/ultimate-singles,Cyber Saga 9,Singles,
tournament/cyber-saga-x/event/ultimate-singles,Cyber Saga X,Ni idea,
tournament/cyber-saga-an-international-challenge/event/ultimate-singles,Cyber Saga: International Challenge,Singles,81188931|81188965
tournament/cyber-saga-11-1/event/ultimate-singles,Cyber Saga 11,Singles,81571930|81571930
tournament/cyber-saga-12-el-fin-de-un-ciclo/event/ultimate-singles,Cyber Saga 12,Singles,
