tournament/cell-games-arena-ultimate-2/event/ultimate-singles,Cell Games Arena 2,Singles,73687074|73687132|73687139|73687143
tournament/otamania-1/event/singles,Otamania 1,Singles,
tournament/otamania-2/event/singles,Otamania 2,Singles,76280001|76280019|76280140|76280144
tournament/cell-games-arena-ultimate-4/event/singles,Cell Games Arena 4,Singles,77436377|77436495
tournament/space-mayhem-1/event/shipwrecks,Space Mayhem 1,Singles,78536556|78536587|78536560|78536589|78536562|78536568|78536596|78536578|78536580|78536600|78536584|78536601|78536700|78536716|78536702|78536717|78536703|78536706|78536710|78536719|78536727|78536710|78536711|78536712|78536722|78536714|78536715
tournament/otamania-3/event/singles,Otamania 3,Singles,
tournament/cell-games-arena-ultimate-5/event/singles,Cell Games Arena 5,Singles,80960673
tournament/cell-games-arena-6/event/ultimate-singles,Cell Games Arena 6,Singles,82440297
tournament/cell-games-arena-ultimate-7/event/singles,Cell Games Arena 7,Singles,83168815|83168846|83168862|83168847|83168848|83168849|83168850|83168864|83168851|83168852|83168853|83168831|83168854|83168866|83168855|83168856|83168857|83168858|83168868|83168859|83168860|83168861|83168959|83168967|83168975|83168976|83168977|83168978|83168979|83168980|83168981|83168982|83168983|83168984|83168985|83168986|83168987|83168988|83168989|83168990|83168994|83168993|83168992|83168991
