tournament/llama-smash-7/event/ultimate-singles,Llama Smash 7,Singles,98268643|98268641|98268647|98268654|98268651|98268643|98268641|98268647|98268654|98268651,Jujuy,17/01/2026
tournament/cyber-saga-champion-s-returned/event/ultimate-singles,Cyber Saga. Champions Returned,Singles,,Salta,25/01/2026
tournament/smash-bros-ultimate-by-warui-team/event/warui-arena-ssbu,Warui Arena SSBU,Singles,99675642|99675650|99675786|99675673|99675790|99675801,Buenos Aires,22/02/2026
tournament/to-the-top-22/event/ultimate-singles,To The Top 22,Singles,,Buenos Aires,07/03/2026
tournament/warui-arena-2/event/arena-warui-2,Warui Arena 2,Singles,101020367|101020409|101020495|101020499|101020507|101020511|101020512|101020513|101020515|101020516|101020521,Buenos Aires,29/03/2026
tournament/dark-winter-2026/event/super-smash-bros-ultimate,Dark Winter 2026,Singles,101155424|101155458,Cordoba,03/04/2026
tournament/bienvenidos-al-llama-smash/event/ultimate-singles,BIENVENIDOS AL LLAMA SMASH,Singles,,Jujuy,12/04/2026
tournament/checkmate-showdown-knights-knockout/event/general,Checkmate Showdown. Knights Knockout,Singles,101566363,Santa Fe,13/04/2026
tournament/to-the-top-23/event/ultimate-singles,To The Top 23,Singles,,Buenos Aires,18/04/2026
tournament/pre-premier-smash-league/event/pre-premier-smash-league,Pre-Premier Smash League,Singles,101996569|101996571|101996581|101996590|101996583|101996584|101996634|101996641|101996642|101996647|101996648|101996654|101996642,Mendoza,24/04/2026
